,base_weight,overlay_weight,weight_diff,abs_weight_diff,base_cum_weight,overlay_cum_weight
2018-01-01,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.00034223134839151266,0.00034223134839151266
2018-01-02,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.0006844626967830253,0.0006844626967830253
2018-01-03,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.001026694045174538,0.001026694045174538
2018-01-04,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.0013689253935660506,0.0013689253935660506
2018-01-05,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.0017111567419575632,0.0017111567419575632
2018-01-06,0.00034223134839151266,0.00034223134839151266,0.0,0.0,0.002053388090349076,0.002053388090349076
2018-01-07,0.0003422313483915126,0.0003422313483915126,0.0,0.0,0.002395619438740589,0.002395619438740589
2018-01-08,0.0003422313483915126,0.0003422313483915126,0.0,0.0,0.0027378507871321017,0.0027378507871321017
2018-01-09,0.0003422313483915126,0.0003422313483915126,0.0,0.0,0.0030800821355236145,0.0030800821355236145
2018-01-10,0.0003422313483915126,0.0003422313483915126,0.0,0.0,0.0034223134839151273,0.0034223134839151273
2018-01-11,0.00034223134839151255,0.00034223134839151255,0.0,0.0,0.0037645448323066397,0.0037645448323066397
2018-01-12,0.000391807786838034,0.000391807786838034,0.0,0.0,0.004156352619144673,0.004156352619144673
2018-01-13,0.0003398376121418628,0.0003398376121418628,0.0,0.0,0.0044961902312865365,0.0044961902312865365
2018-01-14,0.0003382255110454233,0.0003382255110454233,0.0,0.0,0.00483441574233196,0.00483441574233196
2018-01-15,0.0003720199425891453,0.0003720199425891453,0.0,0.0,0.005206435684921105,0.005206435684921105
2018-01-16,0.00038970025424644387,0.00038970025424644387,0.0,0.0,0.005596135939167549,0.005596135939167549
2018-01-17,0.0006865628885570694,0.0006865628885570694,0.0,0.0,0.006282698827724618,0.006282698827724618
2018-01-18,0.0007078275667717899,0.0007078275667717899,0.0,0.0,0.006990526394496408,0.006990526394496408
2018-01-19,0.0006670779552392315,0.0006670779552392315,0.0,0.0,0.00765760434973564,0.00765760434973564
2018-01-20,0.0006172365484608525,0.0006172365484608525,0.0,0.0,0.008274840898196493,0.008274840898196493
2018-01-21,0.00043272820297342475,0.00043272820297342475,0.0,0.0,0.008707569101169918,0.008707569101169918
2018-01-22,0.0006134583965159192,0.0006134583965159192,0.0,0.0,0.009321027497685838,0.009321027497685838
2018-01-23,0.0007141369731986251,0.0007141369731986251,0.0,0.0,0.010035164470884463,0.010035164470884463
2018-01-24,0.0006745959044208356,0.0006745959044208356,0.0,0.0,0.010709760375305298,0.010709760375305298
2018-01-25,0.0006008178483680512,0.0006008178483680512,0.0,0.0,0.011310578223673349,0.011310578223673349
2018-01-26,0.0006075501751229735,0.0006075501751229735,0.0,0.0,0.011918128398796322,0.011918128398796322
2018-01-27,0.0006143546520316241,0.0006143546520316241,0.0,0.0,0.012532483050827947,0.012532483050827947
2018-01-28,0.000565824869172617,0.000565824869172617,0.0,0.0,0.013098307920000564,0.013098307920000564
2018-01-29,0.0005232566861207364,0.0005232566861207364,0.0,0.0,0.0136215646061213,0.0136215646061213
2018-01-30,0.0005887159332691383,0.0005887159332691383,0.0,0.0,0.014210280539390437,0.014210280539390437
2018-01-31,0.0007749514642895417,0.0007749514642895417,0.0,0.0,0.01498523200367998,0.01498523200367998
2018-02-01,0.0007386174122423389,0.0007386174122423389,0.0,0.0,0.01572384941592232,0.01572384941592232
2018-02-02,0.0009172896000370962,0.0009172896000370962,0.0,0.0,0.016641139015959414,0.016641139015959414
2018-02-03,0.0009362051919509637,0.0009362051919509637,0.0,0.0,0.017577344207910378,0.017577344207910378
2018-02-04,0.0008295528731144617,0.0008295528731144617,0.0,0.0,0.018406897081024838,0.018406897081024838
2018-02-05,0.0009894784219410281,0.0009894784219410281,0.0,0.0,0.019396375502965867,0.019396375502965867
