window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2025-03-12 → 2025-09-08,810.0925882684495,1309.7331721889386,983.7386113923176,987.5088724951293,34.75418705208732,35.50878169954927,0.7545946474619498
2025-03-13 → 2025-09-09,810.0925882684495,1309.7331721889386,982.0879457845632,984.4267720680261,34.42381644952292,34.891918192802265,0.46810174327934817
2025-03-14 → 2025-09-10,810.0925882684495,1309.7331721889386,980.1257190833168,981.3680315363315,34.0310888040123,34.279730025921616,0.2486412219093168
2025-03-15 → 2025-09-11,810.0925882684495,1309.7331721889386,978.3424543291405,978.1286737567489,33.67417929514422,33.63139242408699,-0.042786871057231224
2025-03-16 → 2025-09-12,810.0925882684495,1309.7331721889386,976.5494475171404,977.1063477283553,33.31531997312295,33.426780136515845,0.11146016339289133
2025-03-17 → 2025-09-13,810.0925882684495,1309.7331721889386,974.6162278102997,977.0731184485619,32.92839789972543,33.42012949986565,0.4917316001402199
2025-03-18 → 2025-09-14,810.0925882684495,1309.7331721889386,972.8278472002053,973.3509963389663,32.57046448365628,32.67516957679665,0.10470509314036747
2025-03-19 → 2025-09-15,810.0925882684495,1309.7331721889386,970.9323965521476,971.7332114034461,32.19110165584417,32.351379839216484,0.1602781833723128
2025-03-20 → 2025-09-16,810.0925882684495,1309.7331721889386,969.2956942479568,969.3327784780585,31.863525722890895,31.870947904213846,0.00742218132295136
2025-03-21 → 2025-09-17,810.0925882684495,1309.7331721889386,967.4675364988799,965.7914771668536,31.497631156294226,31.16217815548415,-0.3354530008100767
2025-03-22 → 2025-09-18,810.0925882684495,1309.7331721889386,965.6172721433969,963.073271824594,31.127312087942204,30.61814601923716,-0.5091660687050457
2025-03-23 → 2025-09-19,810.0925882684495,1309.7331721889386,963.8048080939482,960.6433953963126,30.764558519121383,30.131821147623423,-0.63273737149796
2025-03-24 → 2025-09-20,810.0925882684495,1309.7331721889386,962.135606241352,958.2480481691061,30.430478000781864,29.652407083935667,-0.7780709168461968
2025-03-25 → 2025-09-21,810.0925882684495,1309.7331721889386,960.5995097419859,956.0661207912624,30.12303770293558,29.21570769480218,-0.9073300081333997
2025-03-26 → 2025-09-22,810.0925882684495,1309.7331721889386,959.1808774139471,956.2001524324214,29.839107138907462,29.242533306146107,-0.5965738327613543
2025-03-27 → 2025-09-23,810.0925882684495,1309.7331721889386,957.7491233588996,957.5743206708863,29.552550341656712,29.517564655217537,-0.03498568643917466
2025-03-28 → 2025-09-24,810.0925882684495,1309.7331721889386,956.2893480583758,952.1843351879015,29.26038526389832,28.438792102217214,-0.8215931616811076
2025-03-29 → 2025-09-25,810.0925882684495,1309.7331721889386,954.79720066481,954.351795240359,28.961741110163352,28.872595944861512,-0.08914516530184002
2025-03-30 → 2025-09-26,810.0925882684495,1309.7331721889386,953.1379255048206,951.685027519525,28.629647358496957,28.338858733222505,-0.2907886252744518
2025-03-31 → 2025-09-27,810.0925882684495,1309.7331721889386,951.4569043746747,949.5710387443913,28.293201284209797,27.91575683894763,-0.37744444526216725
2025-04-01 → 2025-09-28,810.0925882684495,1309.7331721889386,949.6824073125255,946.117676747773,27.938046575153663,27.22458760495124,-0.7134589702024243
2025-04-02 → 2025-09-29,810.0925882684495,1309.7331721889386,948.0317709219844,942.3979950610365,27.607681820235403,26.480116117557323,-1.1275657026780799
2025-04-03 → 2025-09-30,810.0925882684495,1309.7331721889386,946.1870530187265,940.5663770855058,27.238472840295643,26.113529007847646,-1.1249438324479968
2025-04-04 → 2025-10-01,810.0925882684495,1309.7331721889386,944.1916443739414,930.5062542325815,26.839104032196044,24.100057088896147,-2.739046943299897
2025-04-05 → 2025-10-02,810.0925882684495,1309.7331721889386,942.1794176545278,927.6587817919858,26.436369189556885,23.530152935343885,-2.9062162542129997
2025-04-06 → 2025-10-03,810.0925882684495,1309.7331721889386,940.0627930712777,925.1353779905883,26.012739754445402,23.025109133337782,-2.98763062110762
2025-04-07 → 2025-10-04,810.0925882684495,1309.7331721889386,937.4895336808376,920.5362706648688,25.497717661914653,22.104625995312432,-3.3930916666022206
2025-04-08 → 2025-10-05,809.5607943721222,1309.7331721889386,935.0058912387769,928.5300932896052,25.080372773523656,23.785659543369352,-1.2947132301543043
2025-04-09 → 2025-10-06,801.1250765566017,1256.9295180249783,932.1959017601454,925.185793811321,28.75593418556833,27.217970245102702,-1.5379639404656267
2025-04-10 → 2025-10-07,801.1250765566017,1256.9295180249783,930.0608904469518,927.5778538445231,28.287529071674395,27.742769877483664,-0.5447591941907319
2025-04-11 → 2025-10-08,801.1250765566017,1199.617568889581,927.5940761376629,925.5577678129615,31.73685879014856,31.225855856873757,-0.5110029332748027
2025-04-12 → 2025-10-09,801.1250765566017,1196.6166224633182,925.5097021790317,923.3761273554385,31.450640831591446,30.911166639114914,-0.5394741924765327
2025-04-13 → 2025-10-10,801.1250765566017,1196.6166224633182,923.8872030661377,920.811661227725,31.04039208425748,30.26274162112014,-0.7776504631373413
2025-04-14 → 2025-10-11,801.1250765566017,1195.1523096632345,922.2561013638049,919.9226416677268,30.74179006668362,30.14958234599377,-0.5922077206898493
2025-04-15 → 2025-10-12,801.1250765566017,1195.1523096632345,920.5225329889372,920.973587984384,30.301828503316624,30.41630155430109,0.11447305098446492
2025-04-16 → 2025-10-13,801.1250765566017,1188.3324421982854,918.709869098247,919.959983765704,30.36739560642983,30.690249657872076,0.32285405144224555
2025-04-17 → 2025-10-14,801.1250765566017,1184.3461733522126,917.0196436362438,917.598701727256,30.24221997398382,30.39332284797851,0.15110287399469158
2025-04-18 → 2025-10-15,801.1250765566017,1184.3461733522126,915.4987690667004,916.9514102552426,29.845353887471227,30.224414748339477,0.3790608608682504
2025-04-19 → 2025-10-16,801.1250765566017,1175.064020641237,914.0646440163753,916.0624666470017,30.202675930488653,30.736940323708478,0.534264393219825
2025-04-20 → 2025-10-17,801.1250765566017,1175.064020641237,912.755879399146,915.1506670374479,29.852681730116455,30.493103830083623,0.6404220999671679
2025-04-21 → 2025-10-18,801.1250765566017,1144.6792119169197,911.420299879522,913.7451346257861,32.10417572393449,32.78087686270143,0.6767011387669442
2025-04-22 → 2025-10-19,801.1250765566017,1069.5689269580828,910.1784633901661,912.4828721035627,40.62428201296682,41.48271431080123,0.8584322978344048
2025-04-23 → 2025-10-20,801.1250765566017,1067.2843769704489,909.2627798733562,910.2220116990906,40.628940318302895,40.989337953945494,0.36039763564259886
2025-04-24 → 2025-10-21,801.1250765566017,1065.9517509084324,908.4488328618371,910.5684609679552,40.52603710253612,41.326420263071554,0.8003831605354321
2025-04-25 → 2025-10-22,801.1250765566017,1065.9517509084324,907.693323549158,910.0704409372024,40.240752655820835,41.13836517686407,0.8976125210432357
2025-04-26 → 2025-10-23,801.1250765566017,1065.9517509084324,906.8834730950081,908.6505690806971,39.93494869701191,40.60221380163705,0.6672651046251374
2025-04-27 → 2025-10-24,801.1250765566017,1065.9517509084324,906.0253022928531,906.8489650077149,39.61089871063672,39.921918254599866,0.31101954396314824
2025-04-28 → 2025-10-25,801.1250765566017,1062.6671806992363,905.0860144521437,905.3614953396725,39.74921676046693,39.854546221064446,0.1053294605975168
2025-04-29 → 2025-10-26,801.1250765566017,1062.6671806992363,904.0972109804729,905.5261032511528,39.37115011039078,39.917483663592066,0.5463335532012863
2025-04-30 → 2025-10-27,801.1250765566017,1061.1573357003351,903.0687630823653,904.3742025299114,39.20424598911553,39.70627579566521,0.502029806549686
2025-05-01 → 2025-10-28,801.1250765566017,1059.571325892985,902.0961094940998,902.6810452971932,39.06848452889646,39.29481236479867,0.22632783590221095
2025-05-02 → 2025-10-29,801.1250765566017,1059.571325892985,901.3788204871889,901.8617371130549,38.79094557882362,38.97779937418957,0.18685379536595548
2025-05-03 → 2025-10-30,801.1250765566017,1059.571325892985,900.7884786492365,902.2507171302825,38.56252599855566,39.12830649829231,0.565780499736654
2025-05-04 → 2025-10-31,801.1250765566017,1059.571325892985,900.0730697343307,901.44726250451,38.2857145080648,38.81742768777155,0.5317131797067489
2025-05-05 → 2025-11-01,801.1250765566017,1054.2547999766293,899.2414444188909,900.6451259519113,38.76129856922452,39.315829074001016,0.5545305047764941
2025-05-06 → 2025-11-02,801.1250765566017,1034.362296399705,898.421727171283,899.9672692257908,41.71574788969443,42.37839601058502,0.6626481208905943
2025-05-07 → 2025-11-03,801.1250765566017,1029.4698541160526,897.8948865431147,899.5450770857794,42.3788146244415,43.10148959003607,0.7226749655945639
2025-05-08 → 2025-11-04,801.1250765566017,991.0878000262746,897.6584916615068,899.5887334923642,50.81703048983523,51.833146597038535,1.0161161072033025
2025-05-09 → 2025-11-05,801.1250765566017,991.0878000262746,897.614834365066,899.7742311183067,50.79404845649555,51.930796084556086,1.136747628060533
2025-05-10 → 2025-11-06,801.1250765566017,991.0878000262746,897.7049140725665,900.0888543111669,50.841468132237786,52.09641973277167,1.2549516005338859
2025-05-11 → 2025-11-07,801.1250765566017,991.0878000262746,897.7638742105896,900.3890648237552,50.87250587319362,52.25445627125933,1.3819503980657117
2025-05-12 → 2025-11-08,801.1250765566017,991.0878000262746,897.8490866177001,900.5394656827468,50.917363309196894,52.33363015139988,1.4162668422029867
2025-05-13 → 2025-11-09,801.1250765566017,991.0878000262746,897.7585560717631,900.603948211343,50.8697063035047,52.36757498405882,1.4978686805541201
2025-05-14 → 2025-11-10,801.1250765566017,991.0878000262746,897.661702954627,900.5585015284448,50.818720975769295,52.343650983566484,1.5249300077971881
2025-05-15 → 2025-11-11,801.1250765566017,991.0878000262746,897.6926968339834,900.6649462472819,50.835036744879304,52.39968551333784,1.5646487684585395
2025-05-16 → 2025-11-12,801.1250765566017,991.0878000262746,897.7992617847747,900.8679734028158,50.89113456704403,52.50656287949976,1.6154283124557338
2025-05-17 → 2025-11-13,801.1250765566017,999.6470231842562,897.9875583729012,901.1915886495203,48.791825519409,50.405768124268,1.6139426048589982
2025-05-18 → 2025-11-14,801.1250765566017,1058.1725311845328,898.4797504607228,901.9082473379246,37.874202662321345,39.208001856001154,1.333799193679809
2025-05-19 → 2025-11-15,801.1250765566017,1058.1725311845328,899.0510819227787,902.9081480926502,38.09646958298893,39.59699647031192,1.5005268873229909
2025-05-20 → 2025-11-16,801.1250765566017,1061.770482258121,899.6861245220601,903.8643446720644,37.814227993079065,39.4172564979394,1.6030285048603332
2025-05-21 → 2025-11-17,801.1250765566017,1088.0034726272943,900.528618492774,905.5159144152485,34.650061941812176,36.38853231489862,1.738470373086443
2025-05-22 → 2025-11-18,801.1250765566017,1088.0034726272943,901.443682201399,906.8316616013276,34.96903462192979,36.84717514199908,1.8781405200692944
2025-05-23 → 2025-11-19,801.1250765566017,1095.044602908732,902.5375976404796,908.5029604127667,34.50349908443327,36.53308958028222,2.02959049584895
2025-05-24 → 2025-11-20,801.1250765566017,1150.598394377684,903.7451196877856,910.0339580473756,29.364199753791137,31.163718640898157,1.7995188871070198
2025-05-25 → 2025-11-21,801.1250765566017,1177.1901100894656,905.129400707262,911.4259119037936,27.655941094446757,29.330255544099344,1.674314449652588
2025-05-26 → 2025-11-22,801.1250765566017,1179.5930188992104,906.5738471122345,914.5511840362392,27.862008576719855,29.96980583812785,2.1077972614079954
2025-05-27 → 2025-11-23,801.1250765566017,1179.5930188992104,907.8821451591111,915.937078832108,28.2076912358055,30.33599135632274,2.128300120517242
2025-05-28 → 2025-11-24,801.1250765566017,1179.5930188992104,909.0679754953644,916.9082258515803,28.52101508799581,30.59259090170593,2.071575813710119
2025-05-29 → 2025-11-25,801.1250765566017,1179.5930188992104,910.2662577098151,918.9452484284197,28.837629014933373,31.13081946717726,2.2931904522438877
2025-05-30 → 2025-11-26,801.1250765566017,1179.5930188992104,911.1492032207128,920.309667839356,29.070923677998493,31.491330691058195,2.4204070130597017
2025-05-31 → 2025-11-27,801.1250765566017,1179.5930188992104,911.8848097898958,921.6470107845385,29.265287978612655,31.844687685287248,2.579399706674593
2025-06-01 → 2025-11-28,801.1250765566017,1179.5930188992104,912.6803471972987,922.9630556948775,29.47548739536609,32.19241724520536,2.7169298498392713
2025-06-02 → 2025-11-29,801.1250765566017,1179.5930188992104,913.5377309303602,924.1597737676402,29.702028044424644,32.50861788966559,2.806589845240943
2025-06-03 → 2025-11-30,801.1250765566017,1179.5930188992104,914.4182235747435,925.5566060014106,29.934674603320293,32.87769333238985,2.9430187290695606
2025-06-04 → 2025-12-01,801.1250765566017,1179.5930188992104,915.5673738177614,927.6833911172109,30.238306724948632,33.439639240578565,3.2013325156299324
2025-06-05 → 2025-12-02,801.1250765566017,1179.5930188992104,916.3309475771368,928.9839150461338,30.44006060525064,33.7832677975636,3.3432071923129634
2025-06-06 → 2025-12-03,801.1250765566017,1179.5930188992104,916.7988488931392,929.0947871901062,30.56369097486825,33.8125627870642,3.248871812195951
2025-06-07 → 2025-12-04,801.1250765566017,1179.5930188992104,917.4997970106,929.7144589214569,30.748897709452468,33.97629441715024,3.2273967076977748
2025-06-08 → 2025-12-05,801.1250765566017,1179.5930188992104,918.4603933203343,930.6897277778266,31.00270951284816,34.233983047350506,3.2312735345023462
2025-06-09 → 2025-12-06,801.1250765566017,1179.5930188992104,919.4307435995372,931.7222760081066,31.259098540990593,34.50680621538128,3.247707674390689
2025-06-10 → 2025-12-07,801.1250765566017,1179.5930188992104,920.5512847112876,932.6053809691291,31.55517146722434,34.74014300886405,3.1849715416397117
2025-06-11 → 2025-12-08,801.1250765566017,1179.5930188992104,921.6252273307667,933.2072794417231,31.83893199204758,34.899178532155254,3.0602465401076735
2025-06-12 → 2025-12-09,801.1250765566017,1179.5930188992104,922.4929685738042,934.8060456413623,32.06820933523982,35.321609607755285,3.2534002725154636
2025-06-13 → 2025-12-10,801.1250765566017,1179.5930188992104,923.279358272434,937.419245110061,32.27599171537017,36.012077458882565,3.7360857435123975
2025-06-14 → 2025-12-11,801.1250765566017,1179.5930188992104,924.0332902669037,937.9174833821687,32.47519801797087,36.143723555253054,3.6685255372821857
